Runs :50
Difference : 1.0E-4
0.0733000 50 0 0.0
0.0734000 50 0 0.0
0.0735000 50 0 0.0
0.0736000 50 0 0.0
0.0737000 50 0 0.0
0.0738000 50 0 0.0
0.0739000 50 0 0.0
0.0740000 50 0 0.0
0.0741000 50 0 0.0
0.0742000 50 0 0.0
0.0743000 50 0 0.0
0.0744000 50 0 0.0
0.0745000 50 0 0.0
0.0746000 50 0 0.0
0.0747000 50 0 0.0
0.0748000 50 0 0.0
0.0749000 50 0 0.0
0.0750000 50 0 0.0
0.0751000 50 0 0.0
0.0752000 50 0 0.0
0.0753000 50 0 0.0
0.0754000 50 0 0.0
0.0755000 50 0 0.0
0.0756000 50 0 0.0
0.0757000 50 0 0.0
0.0758000 50 0 0.0
0.0759000 50 0 0.0
0.0760000 50 0 0.0
0.0761000 50 0 0.0
0.0762000 50 0 0.0
0.0763000 50 0 0.0
0.0764000 50 0 0.0
0.0765000 50 0 0.0
0.0766000 50 0 0.0
0.0767000 50 0 0.0
0.0768000 50 0 0.0
0.0769000 50 0 0.0
0.0770000 50 0 0.0
0.0771000 50 0 0.0
0.0772000 50 0 0.0
0.0773000 50 0 0.0
0.0774000 50 0 0.0
0.0775000 50 0 0.0
0.0776000 50 0 0.0
0.0777000 50 0 0.0
0.0778000 50 0 0.0
0.0779000 50 0 0.0
0.0780000 50 0 0.0
0.0781000 50 0 0.0
0.0782000 50 0 0.0
0.0783000 50 0 0.0
0.0784000 50 0 0.0
0.0785000 50 0 0.0
0.0786000 50 0 0.0
0.0787000 50 0 0.0
0.0788000 50 0 0.0
0.0789000 50 0 0.0
0.0790000 50 0 0.0
0.0791000 50 0 0.0
0.0792000 50 0 0.0
0.0793000 50 0 0.0
0.0794000 50 0 0.0
0.0795000 50 0 0.0
0.0796000 50 0 0.0
0.0797000 50 0 0.0
0.0798000 50 0 0.0
0.0799000 50 0 0.0
0.0800000 50 0 0.0
0.0801000 50 0 0.0
0.0802000 50 0 0.0
0.0803000 50 0 0.0
0.0804000 50 0 0.0
0.0805000 50 0 0.0
0.0806000 50 0 0.0
0.0807000 50 0 0.0
0.0808000 50 0 0.0
0.0809000 50 0 0.0
0.0810000 50 0 0.0
0.0811000 50 0 0.0
0.0812000 50 0 0.0
0.0813000 50 0 0.0
0.0814000 50 0 0.0
0.0815000 50 0 0.0
0.0816000 50 0 0.0
0.0817000 50 0 0.0
0.0818000 50 0 0.0
0.0819000 50 0 0.0
0.0820000 50 0 0.0
0.0821000 50 0 0.0
0.0822000 50 0 0.0
0.0823000 50 0 0.0
0.0824000 50 0 0.0
0.0825000 50 0 0.0
0.0826000 50 0 0.0
0.0827000 50 0 0.0
0.0828000 50 0 0.0
0.0829000 50 0 0.0
0.0830000 50 0 0.0
0.0831000 50 0 0.0
0.0832000 50 0 0.0
0.0833000 50 0 0.0
0.0834000 50 0 0.0
0.0835000 50 0 0.0
0.0836000 50 0 0.0
0.0837000 50 0 0.0
0.0838000 50 0 0.0
0.0839000 50 0 0.0
0.0840000 50 0 0.0
0.0841000 50 0 0.0
0.0842000 50 0 0.0
0.0843000 50 0 0.0
0.0844000 50 0 0.0
0.0845000 50 0 0.0
0.0846000 50 0 0.0
0.0847000 50 0 0.0
0.0848000 50 0 0.0
0.0849000 50 0 0.0
0.0850000 50 0 0.0
0.0851000 50 0 0.0
0.0852000 50 0 0.0
0.0853000 50 0 0.0
0.0854000 50 0 0.0
0.0855000 50 0 0.0
0.0856000 50 0 0.0
0.0857000 50 0 0.0
0.0858000 50 0 0.0
0.0859000 50 0 0.0
0.0860000 50 0 0.0
0.0861000 50 0 0.0
0.0862000 50 0 0.0
