Runs: 500
Size : 50
55 1760 0.58181816
55 1626 0.53752065
55 1848 0.6109091
55 1920 0.6347107
55 1813 0.5993388
55 1807 0.59735537
55 1807 0.59735537
55 1748 0.57785124
55 1724 0.5699174
55 1865 0.6165289
55 1910 0.63140494
55 1899 0.6277686
55 1703 0.5629752
55 1935 0.6396694
55 1795 0.59338844

Size : 60
60 2154 0.59833336
60 1957 0.5436111
60 2050 0.5694444
60 2236 0.6211111
60 2204 0.6122222
60 2078 0.5772222
60 2151 0.5975
60 2066 0.5738889
60 2133 0.5925
60 2092 0.58111113
60 2089 0.5802778
60 2142 0.595
60 2018 0.5605556
60 2112 0.58666664
60 2243 0.6230556
60 2175 0.6041667
60 2154 0.59833336
60 2434 0.6761111
60 2130 0.59166664
60 2101 0.58361113
60 2198 0.6105555
60 2150 0.5972222
60 2247 0.62416667
60 1985 0.55138886
60 2152 0.5977778
60 2282 0.6338889
60 2160 0.6
60 2093 0.5813889
60 2089 0.5802778
60 2140 0.59444445
60 2135 0.59305555
60 2167 0.60194445
60 2002 0.5561111
60 2140 0.59444445
60 2276 0.63222224
60 2251 0.62527776
60 2088 0.58
60 2160 0.6
60 2129 0.5913889
60 2106 0.585
60 2160 0.6
60 2184 0.6066667
60 2086 0.57944447
60 2341 0.6502778
60 2133 0.5925
60 2136 0.5933333
60 2119 0.5886111
60 2115 0.5875
60 2186 0.6072222
60 2000 0.5555556
60 2073 0.5758333
60 2154 0.59833336
60 2179 0.6052778
60 2057 0.5713889
60 2212 0.61444443
60 2342 0.65055555
60 2259 0.6275
60 2094 0.58166665
60 2164 0.6011111
60 2076 0.57666665
60 2115 0.5875
60 2094 0.58166665
60 2288 0.63555557
60 2202 0.6116667
60 2082 0.5783333
60 2106 0.585
60 2097 0.5825
60 2068 0.5744445
60 2110 0.5861111
60 2061 0.5725
60 2138 0.5938889
60 2131 0.59194446
60 2323 0.6452778
60 2021 0.5613889
60 2065 0.57361114
60 2092 0.58111113
60 2112 0.58666664
60 2135 0.59305555
60 2151 0.5975
60 2233 0.62027776
60 2240 0.62222224
60 2065 0.57361114
60 2016 0.56
60 2248 0.6244444
60 2004 0.5566667
60 2161 0.6002778
60 2004 0.5566667
60 2145 0.59583336
60 2117 0.58805555
60 2077 0.5769445
60 2178 0.605
60 2195 0.6097222
60 2145 0.59583336
60 2108 0.58555555
60 2167 0.60194445
60 2139 0.5941667
60 2118 0.5883333
60 2151 0.5975
60 2346 0.65166664
60 2150 0.5972222
60 2046 0.5683333
60 2266 0.6294444
60 2081 0.57805556
60 2014 0.5594444
60 2148 0.5966667
60 2120 0.5888889
60 2200 0.6111111
60 2055 0.5708333
60 2164 0.6011111
60 2148 0.5966667
60 2179 0.6052778
60 2103 0.58416665
60 2122 0.58944446
60 2294 0.63722223
60 1990 0.55277777
60 2260 0.62777776
60 2096 0.5822222
60 2201 0.61138886
60 2194 0.60944444
60 1952 0.5422222
60 2065 0.57361114
60 2203 0.61194444
60 2246 0.6238889
60 2198 0.6105555
60 2179 0.6052778
60 2111 0.5863889
60 2265 0.62916666
60 2227 0.6186111
60 2136 0.5933333
60 2096 0.5822222
60 2110 0.5861111
